date,sku_id,units_sold,revenue,unit_price,promo_flag
2025-09-05,NB-SMA-121,13,244815.61,18831.97,0.0
2025-08-10,NB-DÉC-090,16,77587.2,4849.2,0.0
2025-05-29,NB-DÉC-089,9,15879.06,1764.34,0.0
2025-09-03,NB-FUR-020,50,1367568.5,27351.37,0.0
2024-10-11,NB-DÉC-065,18,26453.34,1469.63,1.0
2024-11-16,NB-SMA-127,22,127477.9,5794.45,0.0
2025-01-22,NB-FUR-021,15,460816.05,30721.07,0.0
2025-07-01,NB-KIT-170,2,18144.44,9072.22,0.0
2025-05-28,NB-FUR-045,8,177909.84,22238.73,0.0
2024-10-18,NB-FUR-022,51,1391944.53,27293.03,0.0
2024-05-14,NB-DÉC-094,5,9487.5,1897.5,0.0
2024-10-21,NB-DÉC-056,16,13286.4,830.4,1.0
2024-05-21,NB-SMA-117,8,61607.28,7700.91,0.0
2025-12-18,NB-KIT-175,0,0.0,4194.16,0.0
2024-05-21,NB-DÉC-085,9,9940.59,1104.51,0.0
2025-03-06,NB-SMA-115,9,139261.68,15473.52,0.0
2024-10-24,NB-KIT-188,0,0.0,1109.59,0.0
2025-03-20,NB-FUR-030,28,340376.68,12156.31,0.0
2025-09-18,NB-KIT-173,0,0.0,3397.74,1.0
2025-01-26,NB-FUR-037,33,165136.29,5004.13,1.0
2025-12-26,NB-KIT-192,0,0.0,661.61,0.0
2025-11-25,NB-KIT-178,0,0.0,2746.31,0.0
2025-07-06,NB-KIT-164,9,64928.34,7214.26,0.0
2024-02-27,NB-SMA-116,17,81282.78,4781.34,0.0
2024-11-22,NB-DÉC-076,20,153819.4,7690.97,0.0
2024-08-09,NB-KIT-169,2,15305.9,7652.95,0.0
2024-01-18,NB-KIT-166,4,19516.76,4879.19,0.0
2024-02-03,NB-DÉC-065,10,18358.8,1835.88,0.0
2025-11-12,NB-SMA-129,14,185274.18,13233.87,0.0
2024-09-23,NB-FUR-026,40,329496.4,8237.41,0.0
2025-08-02,NB-FUR-027,33,1280712.84,38809.48,0.0
2026-02-08,NB-SMA-104,5,64745.7,12949.14,0.0
2025-07-16,NB-SMA-130,15,240514.65,16034.31,0.0
2024-02-19,NB-FUR-027,26,1009046.48,38809.48,0.0
2024-11-17,NB-SMA-109,9,164251.17,18250.13,0.0
2025-12-02,NB-KIT-181,0,0.0,2833.99,0.0
2024-03-02,NB-DÉC-076,17,130746.49,7690.97,0.0
2026-03-20,NB-DÉC-099,12,68150.4,5679.2,0.0
2025-10-22,NB-DÉC-078,56,133960.96,2392.16,1.0
2025-12-19,NB-KIT-164,4,28857.04,7214.26,0.0
2024-07-26,NB-DÉC-062,8,18731.6,2341.45,0.0
2024-07-01,NB-DÉC-083,9,34256.43,3806.27,0.0
2025-05-25,NB-SMA-109,6,109500.78,18250.13,0.0
2024-06-20,NB-FUR-036,12,386997.96,32249.83,0.0
2024-08-09,NB-FUR-037,8,46191.76,5773.97,0.0
2025-04-06,NB-SMA-107,18,106250.94,5902.83,0.0
2024-12-01,NB-SMA-130,16,256548.96,16034.31,0.0
2024-07-01,NB-DÉC-051,3,5534.49,1844.83,0.0
2025-01-11,NB-FUR-010,35,867007.05,24771.63,0.0
2024-11-12,NB-KIT-156,3,23961.72,7987.24,0.0
2025-08-28,NB-SMA-141,0,0.0,10501.69,0.0
2025-02-11,NB-KIT-155,3,26003.88,8667.96,0.0
2026-02-05,NB-DÉC-058,4,9448.96,2362.24,0.0
2024-11-23,NB-DÉC-068,50,198204.5,3964.09,1.0
2024-06-09,NB-SMA-125,15,321844.65,21456.31,0.0
2025-11-02,NB-DÉC-064,17,108864.94,6403.82,0.0
2025-03-24,NB-SMA-141,0,0.0,10501.69,0.0
2024-05-17,NB-DÉC-072,2,12810.9,6405.45,0.0
2024-02-16,NB-DÉC-069,13,53158.69,4089.13,0.0
2024-12-21,NB-SMA-134,6,50600.46,8433.41,0.0
2024-08-26,NB-KIT-163,1,7426.57,7426.57,0.0
2024-05-18,NB-KIT-161,2,8908.14,4454.07,0.0
2025-03-27,NB-DÉC-093,6,30537.12,5089.52,0.0
2024-05-20,NB-SMA-107,17,100348.11,5902.83,0.0
2024-02-21,NB-DÉC-089,5,8821.7,1764.34,0.0
2025-12-26,NB-FUR-047,10,384202.2,38420.22,0.0
2025-09-16,NB-DÉC-062,13,30438.85,2341.45,0.0
2024-07-05,NB-FUR-010,30,743148.9,24771.63,0.0
2025-01-28,NB-KIT-155,4,34671.84,8667.96,0.0
2024-09-10,NB-FUR-025,16,424311.68,26519.48,0.0
2024-12-05,NB-FUR-046,9,76717.62,8524.18,0.0
2025-09-01,NB-FUR-043,9,67562.55,7506.95,0.0
2025-03-13,NB-FUR-033,11,97804.85,8891.35,0.0
2024-01-16,NB-KIT-158,1,4767.97,4767.97,0.0
2025-04-17,NB-KIT-173,0,0.0,4104.83,0.0
2024-05-25,NB-SMA-124,11,172876.33,15716.03,0.0
2024-06-29,NB-KIT-182,1,5092.42,5092.42,1.0
2025-06-22,NB-KIT-170,3,27216.66,9072.22,0.0
2024-06-16,NB-DÉC-063,13,14434.03,1110.31,0.0
2024-12-17,NB-KIT-151,6,24964.38,4160.73,1.0
2026-01-07,NB-DÉC-067,13,19833.58,1525.66,0.0
2025-02-28,NB-SMA-117,10,77009.1,7700.91,0.0
2025-05-23,NB-DÉC-093,9,45805.68,5089.52,0.0
2024-03-05,NB-SMA-110,9,193102.65,21455.85,0.0
2024-05-04,NB-KIT-196,1,6852.66,6852.66,0.0
2025-06-14,NB-DÉC-057,16,45526.4,2845.4,0.0
2025-07-17,NB-FUR-012,29,626469.89,21602.41,0.0
2025-01-06,NB-FUR-007,28,217733.32,7776.19,0.0
2025-07-01,NB-SMA-149,1,8625.45,8625.45,0.0
2025-11-01,NB-FUR-019,86,694007.1,8069.85,0.0
2024-12-26,NB-DÉC-078,15,41538.45,2769.23,0.0
2024-01-17,NB-FUR-038,8,177511.52,22188.94,0.0
2026-01-19,NB-SMA-106,14,101825.08,7273.22,0.0
2025-07-15,NB-KIT-196,0,0.0,6852.66,0.0
2024-08-13,NB-DÉC-057,11,31299.4,2845.4,0.0
2024-02-11,NB-KIT-200,1,5087.55,5087.55,1.0
2024-01-05,NB-DÉC-098,13,57125.9,4394.3,0.0
2024-07-20,NB-DÉC-077,10,54206.3,5420.63,0.0
2024-03-19,NB-FUR-034,11,341662.09,31060.19,0.0
2024-12-05,NB-FUR-016,27,933254.19,34564.97,0.0
2025-09-30,NB-FUR-021,12,368652.84,30721.07,0.0
2025-03-16,NB-FUR-036,16,515997.28,32249.83,0.0
2025-11-11,NB-FUR-046,18,153435.24,8524.18,0.0
2024-03-21,NB-DÉC-073,5,37824.3,7564.86,0.0
2025-01-05,NB-FUR-033,17,151152.95,8891.35,0.0
2026-01-29,NB-FUR-004,50,591664.0,11833.28,0.0
2024-12-29,NB-DÉC-087,9,28122.21,3124.69,1.0
2025-09-22,NB-KIT-186,1,7014.34,7014.34,0.0
2024-01-30,NB-SMA-138,2,10714.66,5357.33,0.0
2024-05-21,NB-DÉC-072,1,6405.45,6405.45,0.0
2025-05-08,NB-KIT-157,1,1764.83,1764.83,0.0
2024-05-15,NB-KIT-178,1,2746.31,2746.31,0.0
2024-08-30,NB-FUR-041,12,395159.04,32929.92,0.0
2025-01-17,NB-DÉC-100,11,47716.46,4337.86,0.0
2025-11-15,NB-SMA-140,2,9100.3,4550.15,0.0
2024-10-08,NB-DÉC-081,13,33893.34,2607.18,0.0
2024-09-21,NB-FUR-015,61,954229.1,15643.1,0.0
2026-02-27,NB-SMA-132,3,51978.93,17326.31,0.0
2025-12-10,NB-FUR-036,13,419247.79,32249.83,0.0
2025-10-23,NB-FUR-049,45,1096968.15,24377.07,1.0
2025-04-18,NB-SMA-133,1,19573.33,19573.33,0.0
2025-12-09,NB-FUR-037,5,28869.85,5773.97,0.0
2024-06-05,NB-DÉC-075,10,57159.4,5715.94,0.0
2024-12-09,NB-FUR-017,24,345852.24,14410.51,0.0
2025-09-30,NB-SMA-118,9,90410.94,10045.66,0.0
2025-04-12,NB-SMA-128,20,376254.4,18812.72,0.0
2024-11-06,NB-SMA-109,5,91250.65,18250.13,0.0
2025-05-13,NB-FUR-002,16,480845.6,30052.85,0.0
2024-07-22,NB-FUR-008,20,215790.6,10789.53,0.0
2025-02-18,NB-SMA-137,4,60637.32,15159.33,0.0
2025-11-05,NB-KIT-181,0,0.0,2833.99,0.0
2025-04-28,NB-SMA-143,2,9909.2,4954.6,0.0
2025-06-30,NB-KIT-163,4,29706.28,7426.57,0.0
2025-07-30,NB-DÉC-081,12,31286.16,2607.18,0.0
2026-01-31,NB-KIT-168,1,6285.08,6285.08,0.0
2025-12-28,NB-FUR-004,71,840162.88,11833.28,0.0
2025-09-21,NB-FUR-047,32,1096601.6,34268.8,1.0
2025-04-20,NB-DÉC-085,16,17672.16,1104.51,0.0
2026-02-12,NB-FUR-003,32,168225.28,5257.04,0.0
2025-10-12,NB-SMA-115,28,433258.56,15473.52,0.0
2025-09-02,NB-DÉC-092,7,28901.95,4128.85,0.0
2025-07-10,NB-DÉC-097,11,27535.42,2503.22,0.0
2025-04-10,NB-FUR-046,10,85241.8,8524.18,0.0
2025-11-04,NB-KIT-159,4,26842.96,6710.74,0.0
2025-09-04,NB-DÉC-093,5,25447.6,5089.52,0.0
2025-12-01,NB-SMA-105,12,134922.96,11243.58,0.0
2025-10-26,NB-SMA-109,28,399046.76,14251.67,1.0
2024-11-07,NB-FUR-044,7,77686.56,11098.08,0.0
2024-12-29,NB-DÉC-075,21,92801.31,4419.11,1.0
2025-12-07,NB-SMA-128,18,338628.96,18812.72,0.0
2024-11-05,NB-KIT-181,1,2833.99,2833.99,0.0
2024-11-25,NB-DÉC-089,13,22936.42,1764.34,0.0
2024-07-10,NB-DÉC-069,11,44980.43,4089.13,0.0
2024-11-23,NB-SMA-128,53,787377.01,14856.17,1.0
2025-08-01,NB-KIT-152,6,54696.84,9116.14,0.0
2024-09-09,NB-KIT-163,9,66839.13,7426.57,0.0
2024-08-14,NB-KIT-183,1,4025.33,4025.33,0.0
2025-05-26,NB-DÉC-052,6,7469.1,1244.85,0.0
2026-03-22,NB-SMA-124,21,330036.63,15716.03,0.0
2024-01-02,NB-DÉC-079,27,61189.02,2266.26,1.0
2024-08-23,NB-SMA-124,13,204308.39,15716.03,0.0
2024-01-11,NB-SMA-141,1,10501.69,10501.69,0.0
2024-12-05,NB-DÉC-081,9,23464.62,2607.18,0.0
2024-03-19,NB-SMA-136,2,23683.56,11841.78,0.0
2024-03-28,NB-KIT-153,0,0.0,5374.91,0.0
2025-10-04,NB-FUR-022,56,1528409.68,27293.03,0.0
2024-03-28,NB-FUR-016,24,829559.28,34564.97,0.0
2024-03-20,NB-SMA-129,10,132338.7,13233.87,0.0
2024-12-14,NB-FUR-027,39,1513569.72,38809.48,0.0
2025-11-04,NB-FUR-007,58,451019.02,7776.19,0.0
2024-07-11,NB-DÉC-060,8,52270.0,6533.75,0.0
2024-10-14,NB-FUR-044,13,144275.04,11098.08,0.0
2025-07-10,NB-FUR-019,31,250165.35,8069.85,0.0
2025-05-14,NB-KIT-169,2,15305.9,7652.95,0.0
2024-03-12,NB-DÉC-095,19,107311.81,5647.99,0.0
2025-03-07,NB-FUR-026,46,378920.86,8237.41,0.0
2026-02-20,NB-DÉC-088,10,30007.2,3000.72,0.0
2024-12-29,NB-FUR-034,17,454306.47,26723.91,1.0
2026-02-12,NB-FUR-024,40,522649.2,13066.23,0.0
2024-02-26,NB-FUR-009,36,245774.52,6827.07,0.0
2025-06-07,NB-DÉC-066,12,80581.92,6715.16,0.0
2024-10-16,NB-DÉC-072,8,51243.6,6405.45,0.0
2024-02-05,NB-DÉC-091,13,37378.64,2875.28,0.0
2025-01-11,NB-DÉC-087,6,21816.6,3636.1,0.0
2024-06-22,NB-KIT-182,0,0.0,5851.49,0.0
2026-03-25,NB-SMA-133,2,30851.2,15425.6,1.0
2024-06-29,NB-DÉC-081,24,52374.0,2182.25,1.0
2024-10-29,NB-SMA-108,23,240223.73,10444.51,0.0
2025-08-13,NB-SMA-139,3,51795.27,17265.09,0.0
2024-03-10,NB-FUR-040,7,74810.54,10687.22,0.0
2024-03-11,NB-SMA-136,0,0.0,11841.78,0.0
2026-03-14,NB-DÉC-074,7,46619.09,6659.87,0.0
2024-07-30,NB-KIT-193,1,1105.82,1105.82,1.0
2024-04-26,NB-SMA-125,7,150194.17,21456.31,0.0
2025-09-12,NB-FUR-044,5,55490.4,11098.08,0.0
2025-03-19,NB-DÉC-099,9,51112.8,5679.2,0.0
2026-02-28,NB-KIT-188,3,3328.77,1109.59,0.0
2025-12-18,NB-DÉC-077,8,43365.04,5420.63,0.0
2024-04-07,NB-SMA-131,6,97618.98,16269.83,0.0
2024-09-27,NB-SMA-129,10,132338.7,13233.87,0.0
2025-10-24,NB-DÉC-092,25,103221.25,4128.85,0.0
2025-09-09,NB-SMA-114,14,268589.72,19184.98,0.0
2025-08-06,NB-KIT-179,0,0.0,4015.05,0.0
2024-06-09,NB-FUR-032,20,623786.0,31189.3,0.0
2025-02-28,NB-FUR-003,34,178739.36,5257.04,0.0
2025-09-17,NB-DÉC-058,5,11811.2,2362.24,0.0
2025-11-13,NB-FUR-025,33,875142.84,26519.48,0.0
2024-04-05,NB-SMA-121,14,263647.58,18831.97,0.0
2025-09-16,NB-FUR-042,10,154148.7,15414.87,0.0
2025-01-25,NB-FUR-018,23,266520.78,11587.86,0.0
2025-03-20,NB-FUR-003,31,162968.24,5257.04,0.0
2026-01-08,NB-SMA-128,9,169314.48,18812.72,0.0
2024-04-21,NB-SMA-134,2,14447.78,7223.89,1.0
2026-01-27,NB-DÉC-079,28,57282.4,2045.8,1.0
2025-10-24,NB-FUR-016,29,1002384.13,34564.97,0.0
2025-07-14,NB-SMA-109,8,146001.04,18250.13,0.0
2024-11-16,NB-SMA-118,16,160730.56,10045.66,0.0
2024-10-29,NB-SMA-101,18,103822.2,5767.9,0.0
2026-03-30,NB-FUR-040,4,42748.88,10687.22,0.0
2024-03-08,NB-SMA-103,6,78809.4,13134.9,0.0
2024-03-19,NB-KIT-200,1,6247.93,6247.93,0.0
2024-01-06,NB-KIT-163,3,22279.71,7426.57,0.0
2024-04-09,NB-KIT-160,2,15879.4,7939.7,0.0
2026-03-28,NB-KIT-187,2,16714.0,8357.0,0.0
2024-07-22,NB-DÉC-086,8,22874.88,2859.36,0.0
2025-06-08,NB-SMA-147,1,3482.81,3482.81,0.0
2025-11-10,NB-SMA-117,45,284686.2,6326.36,1.0
2025-01-15,NB-KIT-176,0,0.0,2470.85,0.0
2024-02-24,NB-SMA-130,14,224480.34,16034.31,0.0
2026-03-06,NB-FUR-038,16,355023.04,22188.94,0.0
2024-06-30,NB-KIT-192,0,0.0,661.61,0.0
2025-02-18,NB-SMA-126,18,336376.62,18687.59,0.0
2025-09-24,NB-DÉC-080,11,77698.94,7063.54,0.0
2024-04-03,NB-SMA-105,8,89948.64,11243.58,0.0
2024-03-28,NB-KIT-152,5,45580.7,9116.14,0.0
2024-07-05,NB-SMA-127,12,69533.4,5794.45,0.0
2025-06-04,NB-FUR-025,23,609948.04,26519.48,0.0
2024-08-05,NB-KIT-164,1,7214.26,7214.26,0.0
2025-03-19,NB-DÉC-095,9,50831.91,5647.99,0.0
2024-08-09,NB-SMA-137,0,0.0,15159.33,0.0
2025-01-17,NB-FUR-045,6,133432.38,22238.73,0.0
2024-06-26,NB-SMA-102,28,252444.92,9015.89,1.0
2024-01-05,NB-DÉC-088,7,21005.04,3000.72,0.0
2025-04-24,NB-KIT-193,0,0.0,1148.82,1.0
2024-04-24,NB-SMA-119,18,196896.6,10938.7,1.0
2024-05-23,NB-DÉC-078,12,33230.76,2769.23,0.0
2025-07-13,NB-DÉC-076,15,115364.55,7690.97,0.0
2024-10-10,NB-FUR-037,17,98157.49,5773.97,0.0
2025-12-17,NB-FUR-032,13,405460.9,31189.3,0.0
2024-02-23,NB-KIT-164,1,7214.26,7214.26,0.0
2026-02-15,NB-SMA-150,1,9202.12,9202.12,0.0
2025-10-17,NB-KIT-169,4,30611.8,7652.95,0.0
2024-07-12,NB-DÉC-058,2,4724.48,2362.24,0.0
2025-01-23,NB-SMA-108,11,114889.61,10444.51,0.0
2024-12-10,NB-FUR-025,17,450831.16,26519.48,0.0
2025-11-28,NB-SMA-135,2,26555.06,13277.53,1.0
2024-11-29,NB-FUR-042,49,585759.72,11954.28,1.0
2025-04-06,NB-KIT-169,4,30611.8,7652.95,0.0
2026-03-18,NB-KIT-151,3,15338.88,5112.96,0.0
2026-02-06,NB-SMA-128,13,244565.36,18812.72,0.0
2025-09-24,NB-SMA-129,16,211741.92,13233.87,0.0
2024-06-24,NB-FUR-045,7,155671.11,22238.73,0.0
2024-08-12,NB-DÉC-066,8,53721.28,6715.16,0.0
2026-02-15,NB-KIT-161,1,4454.07,4454.07,0.0
2025-04-20,NB-SMA-128,15,282190.8,18812.72,0.0
2024-09-13,NB-DÉC-089,8,14114.72,1764.34,0.0
2025-03-10,NB-FUR-004,43,508831.04,11833.28,0.0
2024-04-10,NB-SMA-104,4,51796.56,12949.14,0.0
2024-10-09,NB-KIT-183,0,0.0,4025.33,0.0
2024-02-25,NB-DÉC-079,13,34892.52,2684.04,0.0
2025-12-06,NB-SMA-143,2,9909.2,4954.6,0.0
2024-12-18,NB-DÉC-088,11,33007.92,3000.72,0.0
2024-03-30,NB-DÉC-058,3,7086.72,2362.24,0.0
2024-04-18,NB-KIT-188,2,1788.44,894.22,1.0
2024-10-09,NB-DÉC-055,8,36226.32,4528.29,0.0
2025-11-09,NB-DÉC-051,10,18448.3,1844.83,0.0
2024-09-22,NB-FUR-032,17,530218.1,31189.3,0.0
2024-11-02,NB-SMA-134,8,67467.28,8433.41,0.0
2025-01-30,NB-DÉC-051,6,11068.98,1844.83,0.0
2024-03-21,NB-SMA-131,3,48809.49,16269.83,0.0
2025-12-24,NB-SMA-122,23,125391.86,5451.82,1.0
2025-05-06,NB-SMA-106,11,80005.42,7273.22,0.0
2024-09-24,NB-FUR-001,19,99856.97,5255.63,0.0
2026-01-30,NB-FUR-010,22,544975.86,24771.63,0.0
2024-08-30,NB-FUR-047,16,614723.52,38420.22,0.0
2025-03-18,NB-DÉC-071,2,3352.46,1676.23,0.0
2024-01-28,NB-KIT-171,0,0.0,7663.86,0.0
2024-04-20,NB-SMA-139,4,69060.36,17265.09,0.0
2026-03-23,NB-FUR-017,20,288210.2,14410.51,0.0
2024-11-24,NB-SMA-131,1,16269.83,16269.83,0.0
2024-06-20,NB-SMA-101,7,40375.3,5767.9,0.0
2024-06-08,NB-FUR-038,15,332834.1,22188.94,0.0
2025-01-11,NB-FUR-031,9,100218.24,11135.36,0.0
2025-02-24,NB-SMA-106,11,80005.42,7273.22,0.0
2026-01-16,NB-DÉC-092,17,70190.45,4128.85,0.0
2025-03-06,NB-DÉC-080,9,63571.86,7063.54,0.0
2025-09-10,NB-SMA-102,13,132824.9,10217.3,0.0
2024-08-09,NB-KIT-160,1,7939.7,7939.7,0.0
2024-12-09,NB-KIT-168,1,6285.08,6285.08,0.0
2025-03-07,NB-DÉC-071,16,26819.68,1676.23,0.0
2024-02-13,NB-FUR-047,9,345781.98,38420.22,0.0
2024-10-17,NB-SMA-103,12,157618.8,13134.9,0.0
2025-07-22,NB-FUR-022,23,627739.69,27293.03,0.0
2025-03-06,NB-SMA-108,10,104445.1,10444.51,0.0
2025-12-24,NB-DÉC-085,23,20567.75,894.25,1.0
2025-01-08,NB-FUR-004,47,556164.16,11833.28,0.0
2024-12-19,NB-KIT-159,2,13421.48,6710.74,0.0
2026-01-02,NB-DÉC-053,15,113645.85,7576.39,0.0
2024-01-28,NB-DÉC-088,10,30007.2,3000.72,0.0
2025-08-25,NB-SMA-102,15,153259.5,10217.3,0.0
2025-03-11,NB-DÉC-069,12,49069.56,4089.13,0.0
2025-07-09,NB-DÉC-098,20,87886.0,4394.3,0.0
2025-03-19,NB-FUR-006,34,847955.92,24939.88,0.0
2024-07-06,NB-SMA-135,2,29904.08,14952.04,0.0
2024-03-30,NB-DÉC-053,17,128798.63,7576.39,0.0
2025-11-14,NB-KIT-199,1,3064.09,3064.09,0.0
2024-07-23,NB-FUR-045,7,155671.11,22238.73,0.0
2024-05-27,NB-FUR-025,15,397792.2,26519.48,0.0
2024-09-18,NB-KIT-188,0,0.0,1109.59,0.0
2024-09-05,NB-SMA-106,13,94551.86,7273.22,0.0
2024-09-21,NB-DÉC-089,8,14114.72,1764.34,0.0
2025-11-08,NB-FUR-043,22,165152.9,7506.95,0.0
2026-01-23,NB-KIT-165,1,4188.47,4188.47,0.0
2026-03-28,NB-FUR-021,24,737305.68,30721.07,0.0
2024-01-26,NB-DÉC-072,14,76563.34,5468.81,1.0
2024-01-09,NB-DÉC-088,12,36008.64,3000.72,0.0
2024-09-08,NB-DÉC-074,10,66598.7,6659.87,0.0
2025-08-26,NB-DÉC-054,11,62466.14,5678.74,0.0
2025-02-27,NB-KIT-160,6,47638.2,7939.7,0.0
2024-09-24,NB-KIT-187,1,8357.0,8357.0,0.0
2025-03-31,NB-DÉC-061,16,141253.6,8828.35,0.0
2025-11-05,NB-SMA-105,4,44974.32,11243.58,0.0
2025-06-09,NB-DÉC-096,9,53050.95,5894.55,0.0
2025-03-19,NB-DÉC-097,18,45057.96,2503.22,0.0
2024-05-11,NB-SMA-137,5,58509.05,11701.81,1.0
2025-06-30,NB-DÉC-067,7,10679.62,1525.66,0.0
2024-07-03,NB-KIT-165,1,4188.47,4188.47,0.0
2025-09-29,NB-KIT-160,1,6221.78,6221.78,1.0
2024-05-04,NB-FUR-010,43,1065180.09,24771.63,0.0
2024-03-16,NB-SMA-119,5,66773.4,13354.68,0.0
2024-12-22,NB-FUR-027,66,2288527.56,34674.66,1.0
2024-05-12,NB-FUR-013,52,1448524.48,27856.24,0.0
2024-07-03,NB-DÉC-059,5,44865.5,8973.1,0.0
2024-04-24,NB-SMA-146,5,41617.7,8323.54,1.0
2025-09-19,NB-SMA-147,0,0.0,3482.81,0.0
2025-01-04,NB-SMA-108,17,177556.67,10444.51,0.0
2025-04-07,NB-SMA-150,0,0.0,9202.12,0.0
2024-03-10,NB-FUR-020,42,1148757.54,27351.37,0.0
2025-06-30,NB-SMA-141,1,10501.69,10501.69,0.0
2025-04-17,NB-FUR-020,32,875243.84,27351.37,0.0
2024-07-27,NB-FUR-031,8,89082.88,11135.36,0.0
2024-01-27,NB-KIT-182,0,0.0,5851.49,0.0
2025-12-23,NB-KIT-169,1,7652.95,7652.95,0.0
2025-08-29,NB-DÉC-099,10,56792.0,5679.2,0.0
2025-06-30,NB-SMA-110,11,236014.35,21455.85,0.0
2025-11-17,NB-FUR-038,17,377211.98,22188.94,0.0
2025-03-21,NB-SMA-141,0,0.0,10501.69,0.0
2025-06-15,NB-DÉC-083,10,38062.7,3806.27,0.0
2024-12-13,NB-DÉC-051,2,3689.66,1844.83,0.0
2024-01-11,NB-DÉC-061,13,114768.55,8828.35,0.0
2025-08-10,NB-SMA-102,13,132824.9,10217.3,0.0
2024-06-04,NB-KIT-174,1,6534.9,6534.9,0.0
2026-01-27,NB-SMA-120,23,121341.56,5275.72,1.0
2026-03-17,NB-SMA-125,14,300388.34,21456.31,0.0
2024-02-22,NB-FUR-023,29,649774.29,22406.01,0.0
2024-06-28,NB-DÉC-090,14,67888.8,4849.2,0.0
2025-01-25,NB-FUR-028,59,1840035.36,31187.04,0.0
2024-03-03,NB-KIT-182,1,5851.49,5851.49,0.0
2025-11-25,NB-DÉC-098,28,123040.4,4394.3,0.0
2024-08-17,NB-FUR-005,36,941294.88,26147.08,0.0
2025-10-05,NB-FUR-037,16,92383.52,5773.97,0.0
2026-01-27,NB-DÉC-090,21,87428.88,4163.28,1.0
2025-07-15,NB-DÉC-085,13,14358.63,1104.51,0.0
2025-09-27,NB-SMA-145,5,70774.7,14154.94,1.0
