sku_id,category,subcategory,launch_date,unit_cost,list_price
NB-KIT-171,Kitchenware,Cookware Sets,2024-03-16,3902.48,7663.86
NB-KIT-172,Kitchenware,Storage Containers,2024-07-17,3716.98,7954.62
NB-KIT-173,Kitchenware,Dinnerware,2024-08-12,1657.75,4104.83
NB-KIT-174,Kitchenware,Cookware Sets,2024-08-07,3062.17,6534.9
NB-KIT-175,Kitchenware,Baking Tools,2024-04-20,1819.47,4194.16
NB-KIT-176,Kitchenware,Cookware Sets,2023-11-18,1154.94,2470.85
NB-KIT-177,Kitchenware,Storage Containers,2024-04-29,809.99,2007.57
NB-KIT-178,Kitchenware,Cutlery,2024-08-10,1605.15,2746.31
NB-KIT-179,Kitchenware,Cookware Sets,2024-01-05,2238.08,4015.05
NB-KIT-180,Kitchenware,Dinnerware,2024-01-04,2437.26,4676.47
NB-KIT-181,Kitchenware,Storage Containers,2024-08-22,1323.67,2833.99
NB-KIT-182,Kitchenware,Baking Tools,2023-12-20,2434.61,5851.49
NB-KIT-183,Kitchenware,Storage Containers,2024-10-21,1727.48,4025.33
NB-KIT-184,Kitchenware,Dinnerware,2024-05-14,3349.41,7938.04
NB-KIT-185,Kitchenware,Storage Containers,2024-07-02,3934.09,8093.36
NB-KIT-186,Kitchenware,Baking Tools,2023-11-15,3504.07,7014.34
NB-KIT-187,Kitchenware,Cutlery,2024-08-22,4419.25,8357.0
NB-KIT-188,Kitchenware,Storage Containers,2024-03-10,483.32,1109.59
NB-KIT-189,Kitchenware,Storage Containers,2024-01-11,1921.53,4286.84
NB-KIT-190,Kitchenware,Cutlery,2024-06-22,2380.38,4117.14
NB-KIT-191,Kitchenware,Dinnerware,2024-07-24,3952.74,9484.02
NB-KIT-192,Kitchenware,Storage Containers,2023-12-17,364.46,661.61
NB-KIT-193,Kitchenware,Cutlery,2024-10-22,614.28,1428.34
NB-KIT-194,Kitchenware,Storage Containers,2023-12-26,3029.31,7214.04
NB-KIT-195,Kitchenware,Baking Tools,2024-03-04,1896.04,3703.59
NB-KIT-196,Kitchenware,Storage Containers,2025-01-30,3964.01,6852.66
NB-KIT-197,Kitchenware,Dinnerware,2024-07-27,4489.19,10313.52
NB-KIT-198,KITCHENWARE,Cookware Sets,2023-11-30,2163.45,4879.01
NB-KIT-199,Kitchenware,Cookware Sets,2024-12-22,1532.14,3064.09
NB-KIT-200,Kitchenware,Storage Containers,2024-12-09,2676.9,6247.93
