date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2026-03-31,NB-FUR-049,402,170,21,334
2026-03-31,NB-FUR-050,354,188,35,492
2026-03-31,NB-DÉC-051,153,114,35,228
2026-03-31,NB-DÉC-052,169,143,35,265
2026-03-31,NB-DÉC-053,888,355,42,736
2026-03-31,NB-DÉC-054,692,143,42,570
2026-03-31,NB-DÉC-055,122,37,14,77
2026-03-31,NB-DÉC-056,227,151,42,284
2026-03-31,NB-DÉC-057,445,170,42,603
2026-03-31,NB-DÉC-058,259,124,42,229
2026-03-31,NB-DÉC-059,96,14,14,105
2026-03-31,NB-DÉC-060,526,197,42,537
2026-03-31,NB-DÉC-061,282,37,14,206
2026-03-31,NB-DÉC-062,372,79,21,298
2026-03-31,NB-DÉC-063,332,249,42,353
2026-03-31,NB-DÉC-064,808,122,35,525
2026-03-31,NB-DÉC-065,157,34,14,120
2026-03-31,NB-DÉC-066,183,43,28,274
2026-03-31,NB-DÉC-067,377,131,21,325
2026-03-31,NB-DÉC-068,769,362,42,595
2026-03-31,NB-DÉC-069,1073,398,42,708
2026-03-31,NB-DÉC-070,937,338,42,599
2026-03-31,NB-DÉC-071,364,359,42,549
2026-03-31,NB-DÉC-072,99,19,14,93
2026-03-31,NB-DÉC-073,335,32,21,217
2026-03-31,NB-DÉC-074,194,181,35,314
2026-03-31,NB-DÉC-075,341,114,35,304
2026-03-31,NB-DÉC-076,835,254,28,518
2026-03-31,NB-DÉC-077,258,170,28,299
2026-03-31,NB-DÉC-078,521,132,21,366
2026-03-31,NB-DÉC-079,285,25,14,194
2026-03-31,NB-DÉC-080,916,356,35,564
2026-03-31,NB-DÉC-081,380,148,21,255
2026-03-31,NB-DÉC-082,386,14,21,276
2026-03-31,NB-DÉC-083,339,345,42,506
2026-03-31,NB-DÉC-084,160,19,14,112
2026-03-31,NB-DÉC-085,558,14,28,424
2026-03-31,NB-DÉC-086,622,162,42,385
2026-03-31,NB-DÉC-087,187,114,35,200
2026-03-31,NB-DÉC-088,791,114,42,592
2026-03-31,NB-DÉC-089,127,44,14,109
2026-03-31,NB-DÉC-090,167,98,14,253
2026-03-31,NB-DÉC-091,564,78,35,639
2026-03-31,NB-DÉC-092,331,127,14,248
2026-03-31,NB-DÉC-093,153,25,21,218
2026-03-31,NB-DÉC-094,188,100,35,196
2026-03-31,NB-DÉC-095,499,80,28,502
2026-03-31,NB-DÉC-096,306,18,21,234
2026-03-31,NB-DÉC-097,284,21,14,258
2026-03-31,NB-DÉC-098,235,134,14,257
2026-03-31,NB-DÉC-099,392,82,21,355
2026-03-31,NB-DÉC-100,458,254,42,393
2026-03-31,NB-SMA-101,410,267,42,445
2026-03-31,NB-SMA-102,241,4,14,236
2026-03-31,NB-SMA-103,193,69,28,270
2026-03-31,NB-SMA-104,206,78,35,269
2026-03-31,NB-SMA-105,821,41,42,542
2026-03-31,NB-SMA-106,719,54,42,757
2026-03-31,NB-SMA-107,126,137,14,207
2026-03-31,NB-SMA-108,196,89,14,183
2026-03-31,NB-SMA-109,194,6,21,140
2026-03-31,NB-SMA-110,715,60,35,479
2026-03-31,NB-SMA-111,455,5,21,394
2026-03-31,NB-SMA-112,195,108,21,153
2026-03-31,NB-SMA-113,162,109,21,260
2026-03-31,NB-SMA-114,1095,48,42,724
2026-03-31,NB-SMA-115,592,35,42,646
2026-03-31,NB-SMA-116,412,119,28,414
2026-03-31,NB-SMA-117,449,8,21,312
2026-03-31,NB-SMA-118,396,237,35,358
2026-03-31,NB-SMA-119,123,108,21,196
2026-03-31,NB-SMA-120,293,241,28,457
2026-03-31,NB-SMA-121,411,373,42,686
2026-03-31,NB-SMA-122,469,236,21,359
2026-03-31,NB-SMA-123,411,353,28,496
2026-03-31,NB-SMA-124,213,243,28,344
2026-03-31,NB-SMA-125,263,61,21,255
2026-03-31,NB-SMA-126,142,141,14,226
2026-03-31,NB-SMA-127,520,413,42,595
2026-03-31,NB-SMA-128,440,338,35,520
2026-03-31,NB-SMA-129,579,271,28,452
2026-03-31,NB-SMA-130,339,79,28,487
2026-03-31,NB-SMA-131,325,0,21,42
2026-03-31,NB-SMA-132,532,0,21,46
2026-03-31,NB-SMA-133,41,0,42,44
2026-03-31,NB-SMA-134,268,0,21,63
2026-03-31,NB-SMA-135,195,0,28,22
2026-03-31,NB-SMA-136,537,0,28,71
2026-03-31,NB-SMA-137,376,0,35,100
2026-03-31,NB-SMA-138,288,0,14,25
2026-03-31,NB-SMA-139,78,0,42,128
2026-03-31,NB-SMA-140,156,0,28,22
2026-03-31,NB-SMA-141,147,0,42,34
2026-03-31,NB-SMA-142,749,0,14,56
2026-03-31,NB-SMA-143,448,0,14,29
2026-03-31,NB-SMA-144,125,0,35,41
2026-03-31,NB-SMA-145,367,0,28,78
2026-03-31,NB-SMA-146,581,0,14,53
2026-03-31,NB-SMA-147,208,0,14,21
2026-03-31,NB-SMA-148,81,0,28,89
2026-03-31,NB-SMA-149,225,0,28,28
2026-03-31,NB-SMA-150,157,0,21,18
2026-03-31,NB-KIT-151,358,0,42,118
2026-03-31,NB-KIT-152,752,0,14,40
2026-03-31,NB-KIT-153,101,0,14,45
2026-03-31,NB-KIT-154,799,0,42,151
2026-03-31,NB-KIT-155,811,0,42,194
2026-03-31,NB-KIT-156,722,0,28,77
2026-03-31,NB-KIT-157,73,0,14,27
2026-03-31,NB-KIT-158,972,0,21,81
2026-03-31,NB-KIT-159,68,0,35,62
2026-03-31,NB-KIT-160,604,0,28,68
2026-03-31,NB-KIT-161,34,0,21,20
2026-03-31,NB-KIT-162,18,0,42,32
2026-03-31,NB-KIT-163,159,0,21,96
2026-03-31,NB-KIT-164,996,0,28,113
2026-03-31,NB-KIT-165,117,0,42,146
2026-03-31,NB-KIT-166,575,0,21,48
2026-03-31,NB-KIT-167,58,0,28,38
2026-03-31,NB-KIT-168,123,0,35,45
2026-03-31,NB-KIT-169,352,0,21,35
2026-03-31,NB-KIT-170,451,0,21,60
2026-03-31,NB-KIT-171,84,0,28,16
2026-03-31,NB-KIT-172,20,0,21,11
2026-03-31,NB-KIT-173,68,0,35,9
2026-03-31,NB-KIT-174,19,0,35,27
2026-03-31,NB-KIT-175,15,0,14,8
2026-03-31,NB-KIT-176,124,0,28,13
2026-03-31,NB-KIT-177,104,0,14,7
2026-03-31,NB-KIT-178,13,0,14,5
2026-03-31,NB-KIT-179,33,0,28,7
2026-03-31,NB-KIT-180,83,0,28,9
2026-03-31,NB-KIT-181,22,0,21,13
2026-03-31,NB-KIT-182,43,0,42,5
2026-03-31,NB-KIT-183,61,0,14,5
2026-03-31,NB-KIT-184,69,0,14,5
2026-03-31,NB-KIT-185,54,0,28,5
2026-03-31,NB-KIT-186,116,0,14,9
2026-03-31,NB-KIT-187,68,0,28,16
2026-03-31,NB-KIT-188,70,0,21,8
2026-03-31,NB-KIT-189,61,0,14,5
2026-03-31,NB-KIT-190,66,0,14,6
2026-03-31,NB-KIT-191,105,0,28,11
2026-03-31,NB-KIT-192,59,0,14,5
2026-03-31,NB-KIT-193,103,0,35,13
2026-03-31,NB-KIT-194,69,0,42,15
2026-03-31,NB-KIT-195,15,0,28,14
2026-03-31,NB-KIT-196,9,0,28,15
2026-03-31,NB-KIT-197,7,0,21,5
2026-03-31,NB-KIT-198,64,0,14,5
2026-03-31,NB-KIT-199,58,0,42,22
2026-03-31,NB-KIT-200,9,0,21,9
