sku_id,category,subcategory,forecast_week,week_horizon,predicted_units,lower_ci_80,upper_ci_80,baseline_units,unit_cost,list_price
NB-DÉC-059,Décor,Vases & Planters,2026-04-06,1,8.2,7.1,51.1,47.0,3279.96,8973.1
NB-DÉC-059,Décor,Vases & Planters,2026-04-13,2,4.3,5.0,34.4,48.0,3279.96,8973.1
NB-DÉC-059,Décor,Vases & Planters,2026-04-20,3,1.6,4.3,19.1,42.0,3279.96,8973.1
NB-DÉC-059,Décor,Vases & Planters,2026-04-27,4,0.0,1.8,8.4,7.0,3279.96,8973.1
NB-DÉC-059,Décor,Vases & Planters,2026-05-04,5,0.0,1.2,6.3,8.2,3279.96,8973.1
NB-DÉC-059,Décor,Vases & Planters,2026-05-11,6,0.0,1.1,6.7,4.3,3279.96,8973.1
NB-DÉC-059,Décor,Vases & Planters,2026-05-18,7,0.0,0.4,4.7,1.6,3279.96,8973.1
NB-DÉC-059,Décor,Vases & Planters,2026-05-25,8,0.1,0.0,5.0,0.0,3279.96,8973.1
NB-DÉC-060,Décor,Candles,2026-04-06,1,33.9,10.6,33.9,76.0,3487.9,6533.75
NB-DÉC-060,Décor,Candles,2026-04-13,2,30.2,10.5,30.2,89.0,3487.9,6533.75
NB-DÉC-060,Décor,Candles,2026-04-20,3,20.1,9.9,20.1,84.0,3487.9,6533.75
NB-DÉC-060,Décor,Candles,2026-04-27,4,10.4,7.3,10.4,23.0,3487.9,6533.75
NB-DÉC-060,Décor,Candles,2026-05-04,5,0.7,6.0,18.0,33.9,3487.9,6533.75
NB-DÉC-060,Décor,Candles,2026-05-11,6,1.2,5.5,18.5,30.2,3487.9,6533.75
NB-DÉC-060,Décor,Candles,2026-05-18,7,2.5,6.2,14.6,20.1,3487.9,6533.75
NB-DÉC-060,Décor,Candles,2026-05-25,8,0.0,1.0,13.3,10.4,3487.9,6533.75
NB-DÉC-061,Décor,Wall Art,2026-04-06,1,32.7,11.1,32.7,105.0,3293.1,8828.35
NB-DÉC-061,Décor,Wall Art,2026-04-13,2,31.8,10.6,31.8,92.0,3293.1,8828.35
NB-DÉC-061,Décor,Wall Art,2026-04-20,3,20.7,9.8,20.7,72.0,3293.1,8828.35
NB-DÉC-061,Décor,Wall Art,2026-04-27,4,11.1,6.8,11.1,28.0,3293.1,8828.35
NB-DÉC-061,Décor,Wall Art,2026-05-04,5,5.5,5.5,5.5,32.7,3293.1,8828.35
NB-DÉC-061,Décor,Wall Art,2026-05-11,6,0.0,5.7,26.8,31.8,3293.1,8828.35
NB-DÉC-061,Décor,Wall Art,2026-05-18,7,1.0,5.0,12.6,20.7,3293.1,8828.35
NB-DÉC-061,Décor,Wall Art,2026-05-25,8,0.5,0.7,18.1,11.1,3293.1,8828.35
NB-DÉC-062,Décor,Vases & Planters,2026-04-06,1,30.7,11.2,30.7,100.0,889.02,2341.45
NB-DÉC-062,Décor,Vases & Planters,2026-04-13,2,35.4,10.1,35.4,82.0,889.02,2341.45
NB-DÉC-062,Décor,Vases & Planters,2026-04-20,3,23.0,9.7,23.0,97.0,889.02,2341.45
NB-DÉC-062,Décor,Vases & Planters,2026-04-27,4,12.5,6.9,12.5,24.0,889.02,2341.45
NB-DÉC-062,Décor,Vases & Planters,2026-05-04,5,9.3,5.8,9.3,30.7,889.02,2341.45
NB-DÉC-062,Décor,Vases & Planters,2026-05-11,6,3.3,5.5,3.3,35.4,889.02,2341.45
NB-DÉC-062,Décor,Vases & Planters,2026-05-18,7,2.1,4.1,14.6,23.0,889.02,2341.45
NB-DÉC-062,Décor,Vases & Planters,2026-05-25,8,0.0,0.8,13.5,12.5,889.02,2341.45
NB-DÉC-063,Décor,Candles,2026-04-06,1,10.9,6.4,31.4,58.0,424.25,1110.31
NB-DÉC-063,Décor,Candles,2026-04-13,2,3.6,4.9,26.4,60.0,424.25,1110.31
NB-DÉC-063,Décor,Candles,2026-04-20,3,0.0,4.9,25.2,40.0,424.25,1110.31
NB-DÉC-063,Décor,Candles,2026-04-27,4,0.0,1.8,7.6,14.0,424.25,1110.31
NB-DÉC-063,Décor,Candles,2026-05-04,5,0.0,1.8,8.7,10.9,424.25,1110.31
NB-DÉC-063,Décor,Candles,2026-05-11,6,0.0,1.5,5.5,3.6,424.25,1110.31
NB-DÉC-063,Décor,Candles,2026-05-18,7,0.0,0.4,5.4,0.0,424.25,1110.31
NB-DÉC-063,Décor,Candles,2026-05-25,8,0.0,0.0,5.0,0.0,424.25,1110.31
NB-DÉC-064,Décor,Lighting,2026-04-06,1,34.3,13.0,34.3,111.0,3310.68,6403.82
NB-DÉC-064,Décor,Lighting,2026-04-13,2,39.4,12.2,39.4,90.0,3310.68,6403.82
NB-DÉC-064,Décor,Lighting,2026-04-20,3,27.1,11.0,27.1,105.0,3310.68,6403.82
NB-DÉC-064,Décor,Lighting,2026-04-27,4,13.5,8.2,13.5,21.0,3310.68,6403.82
NB-DÉC-064,Décor,Lighting,2026-05-04,5,11.5,6.4,11.5,34.3,3310.68,6403.82
NB-DÉC-064,Décor,Lighting,2026-05-11,6,2.9,6.0,2.9,39.4,3310.68,6403.82
NB-DÉC-064,Décor,Lighting,2026-05-18,7,0.0,5.4,15.5,27.1,3310.68,6403.82
NB-DÉC-064,Décor,Lighting,2026-05-25,8,0.3,1.3,11.8,13.5,3310.68,6403.82
NB-DÉC-065,Décor,Candles,2026-04-06,1,14.6,6.3,32.6,73.0,881.89,1835.88
NB-DÉC-065,Décor,Candles,2026-04-13,2,8.5,7.2,25.3,65.0,881.89,1835.88
NB-DÉC-065,Décor,Candles,2026-04-20,3,0.0,5.0,31.8,52.0,881.89,1835.88
NB-DÉC-065,Décor,Candles,2026-04-27,4,0.0,5.7,16.6,12.0,881.89,1835.88
NB-DÉC-065,Décor,Candles,2026-05-04,5,0.0,1.6,7.6,14.6,881.89,1835.88
NB-DÉC-065,Décor,Candles,2026-05-11,6,0.0,2.2,8.7,8.5,881.89,1835.88
NB-DÉC-065,Décor,Candles,2026-05-18,7,0.0,2.0,4.6,0.0,881.89,1835.88
NB-DÉC-065,Décor,Candles,2026-05-25,8,0.0,0.1,5.5,0.0,881.89,1835.88
NB-DÉC-066,Décor,Wall Art,2026-04-06,1,10.8,7.0,26.5,64.0,2531.24,6715.16
NB-DÉC-066,Décor,Wall Art,2026-04-13,2,3.6,5.2,22.7,28.0,2531.24,6715.16
NB-DÉC-066,Décor,Wall Art,2026-04-20,3,0.0,5.4,31.7,56.0,2531.24,6715.16
NB-DÉC-066,Décor,Wall Art,2026-04-27,4,0.8,0.7,16.2,15.0,2531.24,6715.16
NB-DÉC-066,Décor,Wall Art,2026-05-04,5,0.0,1.8,9.0,10.8,2531.24,6715.16
NB-DÉC-066,Décor,Wall Art,2026-05-11,6,0.0,1.2,6.3,3.6,2531.24,6715.16
NB-DÉC-066,Décor,Wall Art,2026-05-18,7,0.0,1.6,4.6,0.0,2531.24,6715.16
NB-DÉC-066,Décor,Wall Art,2026-05-25,8,0.0,0.0,5.2,0.8,2531.24,6715.16
NB-DÉC-067,Décor,Lighting,2026-04-06,1,41.3,12.3,41.3,107.0,686.13,1525.66
NB-DÉC-067,Décor,Lighting,2026-04-13,2,43.4,13.3,43.4,85.0,686.13,1525.66
NB-DÉC-067,Décor,Lighting,2026-04-20,3,29.4,11.3,29.4,98.0,686.13,1525.66
NB-DÉC-067,Décor,Lighting,2026-04-27,4,19.1,8.6,19.1,23.0,686.13,1525.66
NB-DÉC-067,Décor,Lighting,2026-05-04,5,10.1,6.6,10.1,41.3,686.13,1525.66
NB-DÉC-067,Décor,Lighting,2026-05-11,6,6.8,6.6,6.8,43.4,686.13,1525.66
NB-DÉC-067,Décor,Lighting,2026-05-18,7,0.0,6.3,1.7,29.4,686.13,1525.66
NB-DÉC-067,Décor,Lighting,2026-05-25,8,0.0,3.6,12.5,19.1,686.13,1525.66
NB-DÉC-068,Décor,Wall Art,2026-04-06,1,31.3,11.3,31.8,92.0,2375.05,4897.25
NB-DÉC-068,Décor,Wall Art,2026-04-13,2,34.6,11.1,34.6,98.0,2375.05,4897.25
NB-DÉC-068,Décor,Wall Art,2026-04-20,3,22.4,9.9,22.4,100.0,2375.05,4897.25
NB-DÉC-068,Décor,Wall Art,2026-04-27,4,11.2,8.3,11.2,19.0,2375.05,4897.25
NB-DÉC-068,Décor,Wall Art,2026-05-04,5,10.4,6.0,10.4,31.3,2375.05,4897.25
NB-DÉC-068,Décor,Wall Art,2026-05-11,6,0.6,6.1,0.6,34.6,2375.05,4897.25
NB-DÉC-068,Décor,Wall Art,2026-05-18,7,1.7,5.6,14.2,22.4,2375.05,4897.25
NB-DÉC-068,Décor,Wall Art,2026-05-25,8,0.5,0.9,16.2,11.2,2375.05,4897.25
NB-DÉC-069,Décor,Mirrors,2026-04-06,1,36.2,12.0,44.4,120.0,2138.81,4089.13
NB-DÉC-069,Décor,Mirrors,2026-04-13,2,39.9,14.0,39.9,130.0,2138.81,4089.13
NB-DÉC-069,Décor,Mirrors,2026-04-20,3,42.5,12.3,42.5,131.0,2138.81,4089.13
NB-DÉC-069,Décor,Mirrors,2026-04-27,4,26.0,9.3,26.0,23.0,2138.81,4089.13
NB-DÉC-069,Décor,Mirrors,2026-05-04,5,18.9,8.8,18.9,36.2,2138.81,4089.13
NB-DÉC-069,Décor,Mirrors,2026-05-11,6,10.9,6.6,10.9,39.9,2138.81,4089.13
NB-DÉC-069,Décor,Mirrors,2026-05-18,7,7.3,6.2,7.3,42.5,2138.81,4089.13
NB-DÉC-069,Décor,Mirrors,2026-05-25,8,4.5,5.1,4.5,26.0,2138.81,4089.13
NB-DÉC-070,Décor,Wall Art,2026-04-06,1,30.1,11.7,30.1,97.0,2091.33,5509.81
NB-DÉC-070,Décor,Wall Art,2026-04-13,2,29.8,9.9,29.8,85.0,2091.33,5509.81
NB-DÉC-070,Décor,Wall Art,2026-04-20,3,20.5,9.3,20.5,83.0,2091.33,5509.81
NB-DÉC-070,Décor,Wall Art,2026-04-27,4,10.6,6.7,10.6,28.0,2091.33,5509.81
NB-DÉC-070,Décor,Wall Art,2026-05-04,5,3.9,5.6,3.9,30.1,2091.33,5509.81
NB-DÉC-070,Décor,Wall Art,2026-05-11,6,0.0,5.9,18.9,29.8,2091.33,5509.81
NB-DÉC-070,Décor,Wall Art,2026-05-18,7,1.1,5.3,11.6,20.5,2091.33,5509.81
NB-DÉC-070,Décor,Wall Art,2026-05-25,8,0.4,0.5,18.1,10.6,2091.33,5509.81
NB-DÉC-071,Décor,Mirrors,2026-04-06,1,31.5,10.9,31.5,82.0,795.08,1676.23
NB-DÉC-071,Décor,Mirrors,2026-04-13,2,27.9,8.9,27.9,75.0,795.08,1676.23
NB-DÉC-071,Décor,Mirrors,2026-04-20,3,21.9,9.3,21.9,107.0,795.08,1676.23
NB-DÉC-071,Décor,Mirrors,2026-04-27,4,9.3,7.5,9.3,18.0,795.08,1676.23
NB-DÉC-071,Décor,Mirrors,2026-05-04,5,0.4,5.9,1.1,31.5,795.08,1676.23
NB-DÉC-071,Décor,Mirrors,2026-05-11,6,0.3,5.2,18.3,27.9,795.08,1676.23
NB-DÉC-071,Décor,Mirrors,2026-05-18,7,1.0,5.8,10.9,21.9,795.08,1676.23
NB-DÉC-071,Décor,Mirrors,2026-05-25,8,0.0,1.2,17.9,9.3,795.08,1676.23
NB-DÉC-072,Décor,Lighting,2026-04-06,1,10.3,7.2,53.3,45.0,3186.67,6405.45
NB-DÉC-072,Décor,Lighting,2026-04-13,2,4.4,5.5,27.3,52.0,3186.67,6405.45
NB-DÉC-072,Décor,Lighting,2026-04-20,3,0.9,6.1,15.1,44.0,3186.67,6405.45
NB-DÉC-072,Décor,Lighting,2026-04-27,4,0.0,1.7,7.9,8.0,3186.67,6405.45
NB-DÉC-072,Décor,Lighting,2026-05-04,5,0.0,1.7,6.3,10.3,3186.67,6405.45
NB-DÉC-072,Décor,Lighting,2026-05-11,6,0.0,2.0,5.4,4.4,3186.67,6405.45
NB-DÉC-072,Décor,Lighting,2026-05-18,7,0.0,0.8,5.4,0.9,3186.67,6405.45
NB-DÉC-072,Décor,Lighting,2026-05-25,8,0.2,0.2,4.7,0.0,3186.67,6405.45
NB-DÉC-073,Décor,Vases & Planters,2026-04-06,1,25.4,7.0,25.4,63.0,2818.36,7564.86
NB-DÉC-073,Décor,Vases & Planters,2026-04-13,2,13.5,7.0,13.5,72.0,2818.36,7564.86
NB-DÉC-073,Décor,Vases & Planters,2026-04-20,3,2.9,4.4,24.7,67.0,2818.36,7564.86
NB-DÉC-073,Décor,Vases & Planters,2026-04-27,4,0.0,5.9,25.3,13.0,2818.36,7564.86
NB-DÉC-073,Décor,Vases & Planters,2026-05-04,5,0.2,3.8,19.4,25.4,2818.36,7564.86
NB-DÉC-073,Décor,Vases & Planters,2026-05-11,6,0.0,1.3,9.0,13.5,2818.36,7564.86
NB-DÉC-073,Décor,Vases & Planters,2026-05-18,7,0.0,0.9,5.4,2.9,2818.36,7564.86
NB-DÉC-073,Décor,Vases & Planters,2026-05-25,8,0.0,0.1,2.9,0.0,2818.36,7564.86
NB-DÉC-074,Décor,Wall Art,2026-04-06,1,12.4,7.2,31.5,59.0,3269.87,6659.87
NB-DÉC-074,Décor,Wall Art,2026-04-13,2,9.0,6.3,26.2,49.0,3269.87,6659.87
NB-DÉC-074,Décor,Wall Art,2026-04-20,3,0.0,5.8,22.0,52.0,3269.87,6659.87
NB-DÉC-074,Décor,Wall Art,2026-04-27,4,0.0,5.5,19.0,21.0,3269.87,6659.87
NB-DÉC-074,Décor,Wall Art,2026-05-04,5,0.1,2.2,8.2,12.4,3269.87,6659.87
NB-DÉC-074,Décor,Wall Art,2026-05-11,6,0.0,2.2,10.0,9.0,3269.87,6659.87
NB-DÉC-074,Décor,Wall Art,2026-05-18,7,0.0,2.0,5.0,0.0,3269.87,6659.87
NB-DÉC-074,Décor,Wall Art,2026-05-25,8,0.0,0.2,5.8,0.0,3269.87,6659.87
NB-DÉC-075,Décor,Wall Art,2026-04-06,1,10.7,6.9,27.4,62.0,3132.39,5715.94
NB-DÉC-075,Décor,Wall Art,2026-04-13,2,3.8,6.8,24.1,38.0,3132.39,5715.94
NB-DÉC-075,Décor,Wall Art,2026-04-20,3,1.4,6.6,27.0,55.0,3132.39,5715.94
NB-DÉC-075,Décor,Wall Art,2026-04-27,4,0.7,1.3,12.3,15.0,3132.39,5715.94
NB-DÉC-075,Décor,Wall Art,2026-05-04,5,0.1,2.1,8.6,10.7,3132.39,5715.94
NB-DÉC-075,Décor,Wall Art,2026-05-11,6,0.0,1.6,6.3,3.8,3132.39,5715.94
NB-DÉC-075,Décor,Wall Art,2026-05-18,7,0.0,1.9,4.2,1.4,3132.39,5715.94
NB-DÉC-075,Décor,Wall Art,2026-05-25,8,0.4,0.2,5.2,0.7,3132.39,5715.94
NB-DÉC-076,Décor,Mirrors,2026-04-06,1,32.2,13.0,45.7,120.0,2886.93,7690.97
NB-DÉC-076,Décor,Mirrors,2026-04-13,2,38.9,12.4,38.9,128.0,2886.93,7690.97
NB-DÉC-076,Décor,Mirrors,2026-04-20,3,44.9,12.6,44.9,141.0,2886.93,7690.97
NB-DÉC-076,Décor,Mirrors,2026-04-27,4,31.6,10.0,31.6,30.0,2886.93,7690.97
NB-DÉC-076,Décor,Mirrors,2026-05-04,5,21.7,9.4,21.7,32.2,2886.93,7690.97
NB-DÉC-076,Décor,Mirrors,2026-05-11,6,16.3,6.6,16.3,38.9,2886.93,7690.97
NB-DÉC-076,Décor,Mirrors,2026-05-18,7,7.2,6.1,7.2,44.9,2886.93,7690.97
NB-DÉC-076,Décor,Mirrors,2026-05-25,8,4.9,5.3,4.9,31.6,2886.93,7690.97
NB-DÉC-077,Décor,Wall Art,2026-04-06,1,25.0,7.9,25.0,74.0,2840.86,5420.63
NB-DÉC-077,Décor,Wall Art,2026-04-13,2,20.3,8.9,20.3,54.0,2840.86,5420.63
NB-DÉC-077,Décor,Wall Art,2026-04-20,3,11.0,7.2,12.1,72.0,2840.86,5420.63
NB-DÉC-077,Décor,Wall Art,2026-04-27,4,0.2,6.1,16.6,23.0,2840.86,5420.63
NB-DÉC-077,Décor,Wall Art,2026-05-04,5,0.7,5.1,20.4,25.0,2840.86,5420.63
NB-DÉC-077,Décor,Wall Art,2026-05-11,6,1.3,5.8,14.9,20.3,2840.86,5420.63
NB-DÉC-077,Décor,Wall Art,2026-05-18,7,0.0,1.6,8.6,11.0,2840.86,5420.63
NB-DÉC-077,Décor,Wall Art,2026-05-25,8,0.0,1.5,4.6,0.2,2840.86,5420.63
NB-DÉC-078,Décor,Wall Art,2026-04-06,1,36.5,11.5,36.5,120.0,1018.68,2769.23
NB-DÉC-078,Décor,Wall Art,2026-04-13,2,45.9,12.4,45.9,79.0,1018.68,2769.23
NB-DÉC-078,Décor,Wall Art,2026-04-20,3,31.7,11.5,31.7,118.0,1018.68,2769.23
NB-DÉC-078,Décor,Wall Art,2026-04-27,4,18.6,8.8,18.6,21.0,1018.68,2769.23
NB-DÉC-078,Décor,Wall Art,2026-05-04,5,11.4,6.7,11.4,36.5,1018.68,2769.23
NB-DÉC-078,Décor,Wall Art,2026-05-11,6,8.8,5.5,8.8,45.9,1018.68,2769.23
NB-DÉC-078,Décor,Wall Art,2026-05-18,7,0.5,5.5,0.5,31.7,1018.68,2769.23
NB-DÉC-078,Décor,Wall Art,2026-05-25,8,0.5,3.2,13.2,18.6,1018.68,2769.23
NB-DÉC-079,Décor,Wall Art,2026-04-06,1,32.6,11.0,32.6,82.0,1091.06,2684.04
NB-DÉC-079,Décor,Wall Art,2026-04-13,2,29.9,9.3,29.9,79.0,1091.06,2684.04
NB-DÉC-079,Décor,Wall Art,2026-04-20,3,22.5,9.0,22.5,96.0,1091.06,2684.04
NB-DÉC-079,Décor,Wall Art,2026-04-27,4,10.6,7.0,10.6,23.0,1091.06,2684.04
NB-DÉC-079,Décor,Wall Art,2026-05-04,5,5.4,5.4,5.4,32.6,1091.06,2684.04
NB-DÉC-079,Décor,Wall Art,2026-05-11,6,0.0,5.3,27.8,29.9,1091.06,2684.04
NB-DÉC-079,Décor,Wall Art,2026-05-18,7,1.4,5.2,15.0,22.5,1091.06,2684.04
NB-DÉC-079,Décor,Wall Art,2026-05-25,8,0.0,0.4,18.1,10.6,1091.06,2684.04
NB-DÉC-080,Décor,Lighting,2026-04-06,1,28.7,9.4,28.7,104.0,3397.36,7063.54
NB-DÉC-080,Décor,Lighting,2026-04-13,2,27.5,10.1,27.5,83.0,3397.36,7063.54
NB-DÉC-080,Décor,Lighting,2026-04-20,3,17.7,9.3,17.7,81.0,3397.36,7063.54
NB-DÉC-080,Décor,Lighting,2026-04-27,4,5.5,7.6,5.5,21.0,3397.36,7063.54
NB-DÉC-080,Décor,Lighting,2026-05-04,5,3.8,6.2,11.4,28.7,3397.36,7063.54
NB-DÉC-080,Décor,Lighting,2026-05-11,6,0.0,5.4,15.5,27.5,3397.36,7063.54
NB-DÉC-080,Décor,Lighting,2026-05-18,7,1.2,1.0,12.4,17.7,3397.36,7063.54
NB-DÉC-080,Décor,Lighting,2026-05-25,8,0.0,1.2,18.2,5.5,3397.36,7063.54
NB-DÉC-081,Décor,Candles,2026-04-06,1,29.7,7.8,29.7,73.0,1426.56,2607.18
NB-DÉC-081,Décor,Candles,2026-04-13,2,22.5,10.1,22.5,65.0,1426.56,2607.18
NB-DÉC-081,Décor,Candles,2026-04-20,3,16.7,8.6,16.7,74.0,1426.56,2607.18
NB-DÉC-081,Décor,Candles,2026-04-27,4,0.6,6.2,18.2,23.0,1426.56,2607.18
NB-DÉC-081,Décor,Candles,2026-05-04,5,0.7,6.2,27.3,29.7,1426.56,2607.18
NB-DÉC-081,Décor,Candles,2026-05-11,6,1.5,4.5,15.7,22.5,1426.56,2607.18
NB-DÉC-081,Décor,Candles,2026-05-18,7,0.0,1.1,16.6,16.7,1426.56,2607.18
NB-DÉC-081,Décor,Candles,2026-05-25,8,0.0,1.6,9.7,0.6,1426.56,2607.18
NB-DÉC-082,Décor,Wall Art,2026-04-06,1,36.5,10.8,36.5,111.0,2199.83,6123.34
NB-DÉC-082,Décor,Wall Art,2026-04-13,2,24.6,8.4,24.6,68.0,2199.83,6123.34
NB-DÉC-082,Décor,Wall Art,2026-04-20,3,16.8,6.9,16.8,83.0,2199.83,6123.34
NB-DÉC-082,Décor,Wall Art,2026-04-27,4,6.2,6.8,6.2,12.0,2199.83,6123.34
NB-DÉC-082,Décor,Wall Art,2026-05-04,5,2.5,5.4,12.4,36.5,2199.83,6123.34
NB-DÉC-082,Décor,Wall Art,2026-05-11,6,1.9,3.9,14.9,24.6,2199.83,6123.34
NB-DÉC-082,Décor,Wall Art,2026-05-18,7,1.1,0.7,12.7,16.8,2199.83,6123.34
