sku_id,category,subcategory,unit_cost,list_price,total_8w_forecast,avg_weekly_demand,demand_std_weekly,upper_8w_forecast,lower_8w_forecast,date,on_hand_units,on_order_units,lead_time_days,reorder_point,lead_time_weeks,lead_time_demand,safety_stock,dynamic_reorder_point,available_stock,projected_stockout_units,stockout_risk_score,sales_at_risk_inr,weeks_of_supply,excess_units,overstock_risk_score,capital_locked_inr,quadrant,quadrant_meaning,recommended_action,recommended_reorder_units
NB-DÉC-061,Décor,Wall Art,3293.1,8828.35,103.3,12.9125,12.8931607354442,159.3,55.2,2026-03-31,282,37,14,206,2.0,25.8,32.3,58.1,319,0.0,0.0,0.0,21.8,178.7,86.2,588476.97,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-062,Décor,Vases & Planters,889.02,2341.45,116.3,14.5375,12.70816051795066,142.3,54.1,2026-03-31,372,79,21,298,3.0,43.6,39.1,82.7,451,0.0,0.0,0.0,25.6,255.7,100.0,227322.41,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-063,Décor,Candles,424.25,1110.31,14.5,1.8125,3.63126613593661,115.19999999999999,21.700000000000003,2026-03-31,332,249,42,353,6.0,10.9,18.7,29.6,581,0.0,0.0,0.0,183.2,317.5,100.0,134699.38,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-064,Décor,Lighting,3310.68,6403.82,129.0,16.125,14.60365964407552,156.0,63.5,2026-03-31,808,122,35,525,5.0,80.6,57.4,138.0,930,0.0,0.0,0.0,50.1,679.0,100.0,2247951.72,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-065,Décor,Candles,881.89,1835.88,23.1,2.8875,5.228632110791502,132.7,30.1,2026-03-31,157,34,14,120,2.0,5.8,14.5,20.3,191,0.0,0.0,0.0,54.4,133.9,100.0,118085.07,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-066,Décor,Wall Art,2531.24,6715.16,15.200000000000001,1.9000000000000001,3.5594943461115376,122.2,22.900000000000002,2026-03-31,183,43,28,274,4.0,7.6,15.0,22.6,226,0.0,0.0,0.0,96.3,167.8,100.0,424742.07,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-067,Décor,Lighting,686.13,1525.66,150.1,18.7625,16.395192702435676,164.29999999999998,68.6,2026-03-31,377,131,21,325,3.0,56.3,49.6,105.9,508,0.0,0.0,0.0,20.1,226.9,75.6,155682.9,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-068,Décor,Wall Art,2375.05,4897.25,112.7,14.0875,12.88433520791818,141.4,59.2,2026-03-31,769,362,42,595,6.0,84.5,55.9,140.4,1131,0.0,0.0,0.0,54.6,656.3,100.0,1558745.32,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-069,Décor,Mirrors,2138.81,4089.13,186.2,23.275,14.144146315702478,194.4,74.3,2026-03-31,1073,398,42,708,6.0,139.6,61.0,200.6,1471,0.0,0.0,0.0,46.1,886.8,100.0,1896696.71,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-070,Décor,Wall Art,2091.33,5509.81,96.4,12.05,12.15329173516377,143.5,54.9,2026-03-31,937,338,42,599,6.0,72.3,53.0,125.3,1275,0.0,0.0,0.0,77.8,840.6,100.0,1757972.0,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-071,Décor,Mirrors,795.08,1676.23,92.3,11.5375,12.614965071295282,138.8,54.7,2026-03-31,364,359,42,549,6.0,69.2,54.9,124.1,723,0.0,0.0,0.0,31.5,271.7,100.0,216023.24,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-072,Décor,Lighting,3186.67,6405.45,15.8,1.975,3.447734763580285,125.4,25.2,2026-03-31,99,19,14,93,2.0,4.0,10.3,14.3,118,0.0,0.0,0.0,50.1,83.2,100.0,265130.94,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-073,Décor,Vases & Planters,2818.36,7564.86,42.0,5.25,8.77040477971228,125.6,30.400000000000002,2026-03-31,335,32,21,217,3.0,15.8,27.8,43.6,367,0.0,0.0,0.0,63.8,293.0,100.0,825779.48,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-074,Décor,Wall Art,3269.87,6659.87,21.5,2.6875,4.7035724454928936,127.7,31.4,2026-03-31,194,181,35,314,5.0,13.4,21.0,34.4,375,0.0,0.0,0.0,72.2,172.5,100.0,564052.57,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-075,Décor,Wall Art,3132.39,5715.94,17.099999999999998,2.1374999999999997,3.445989516815163,115.1,27.4,2026-03-31,341,114,35,304,5.0,10.7,16.4,27.1,455,0.0,0.0,0.0,159.5,323.9,100.0,1014581.12,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-076,Décor,Mirrors,2886.93,7690.97,197.7,24.7125,13.653702565604688,211.2,75.4,2026-03-31,835,254,28,518,4.0,98.8,48.2,147.0,1089,0.0,0.0,0.0,33.8,637.3,100.0,1839840.49,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-077,Décor,Wall Art,2840.86,5420.63,58.5,7.3125,9.569017386858485,122.5,44.1,2026-03-31,258,170,28,299,4.0,29.2,34.8,64.0,428,0.0,0.0,0.0,35.3,199.5,100.0,566751.57,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-078,Décor,Wall Art,1018.68,2769.23,153.9,19.2375,15.95759517439893,166.6,65.1,2026-03-31,521,132,21,366,3.0,57.7,48.3,106.0,653,0.0,0.0,0.0,27.1,367.1,100.0,373957.43,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-079,Décor,Wall Art,1091.06,2684.04,102.4,12.8,12.726841713481,161.9,52.6,2026-03-31,285,25,14,194,2.0,25.6,31.9,57.5,310,0.0,0.0,0.0,22.3,182.6,89.4,199227.56,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-080,Décor,Lighting,3397.36,7063.54,84.39999999999999,10.549999999999999,11.450655003099168,136.9,50.2,2026-03-31,916,356,35,564,5.0,52.7,45.8,98.5,1272,0.0,0.0,0.0,86.8,831.6,100.0,2825244.58,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-081,Décor,Candles,1426.56,2607.18,71.7,8.9625,11.334233266966054,156.4,46.1,2026-03-31,380,148,21,255,3.0,26.9,35.1,62.0,528,0.0,0.0,0.0,42.4,308.3,100.0,439808.45,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-082,Décor,Wall Art,2199.83,6123.34,90.0,11.25,12.534053614054793,137.3,43.4,2026-03-31,386,14,21,276,3.0,33.8,38.6,72.4,400,0.0,0.0,0.0,34.3,296.0,100.0,651149.68,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-083,Décor,Mirrors,1471.63,3806.27,69.8,8.725,11.18366554399764,145.2,42.4,2026-03-31,339,345,42,506,6.0,52.4,49.1,101.5,684,0.0,0.0,0.0,38.9,269.2,100.0,396162.8,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-084,Décor,Candles,758.5,2047.57,16.3,2.0375,4.075517605163791,131.0,26.8,2026-03-31,160,19,14,112,2.0,4.1,11.8,15.9,179,0.0,0.0,0.0,78.5,143.7,100.0,108996.45,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-085,Décor,Mirrors,405.24,1104.51,104.0,13.0,13.34353776177817,160.7,56.699999999999996,2026-03-31,558,14,28,424,4.0,52.0,47.2,99.2,572,0.0,0.0,0.0,42.9,454.0,100.0,183978.96,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-086,Décor,Wall Art,1529.09,2859.36,14.4,1.8,3.6252586114648424,123.8,28.400000000000002,2026-03-31,622,162,42,385,6.0,10.8,18.6,29.4,784,0.0,0.0,0.0,345.6,607.6,100.0,929075.08,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-087,Décor,Candles,1373.14,3636.1,7.2,0.9,1.4396180048887968,74.3,19.4,2026-03-31,187,114,35,200,5.0,4.5,9.0,13.5,301,0.0,0.0,0.0,207.8,179.8,100.0,246890.57,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-088,Décor,Candles,1358.78,3000.72,107.60000000000001,13.450000000000001,12.279454385272986,163.3,56.599999999999994,2026-03-31,791,114,42,592,6.0,80.7,53.5,134.2,905,0.0,0.0,0.0,58.8,683.4,100.0,928590.25,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-089,Décor,Candles,794.59,1764.34,14.299999999999999,1.7874999999999999,3.5687664185261547,114.1,25.2,2026-03-31,127,44,14,109,2.0,3.6,10.6,14.2,171,0.0,0.0,0.0,71.0,112.7,100.0,89550.29,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-090,Décor,Wall Art,2308.1,4849.2,175.2,21.9,16.28688122385621,199.9,75.3,2026-03-31,167,98,14,253,2.0,43.8,40.2,84.0,265,0.0,0.0,0.0,7.6,0.0,0.0,0.0,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-DÉC-091,Décor,Vases & Planters,1289.43,2875.28,187.7,23.4625,15.088152429969682,204.3,81.0,2026-03-31,564,78,35,639,5.0,117.3,59.2,176.5,642,0.0,0.0,0.0,24.0,376.3,100.0,485212.51,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-092,Décor,Vases & Planters,1841.46,4128.85,174.4,21.8,15.13613226686395,187.7,81.5,2026-03-31,331,127,14,248,2.0,43.6,37.5,81.1,458,0.0,0.0,0.0,15.2,156.6,45.0,288372.64,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-093,Décor,Wall Art,2442.44,5089.52,48.5,6.0625,9.088720688303718,140.6,34.7,2026-03-31,153,25,21,218,3.0,18.2,28.7,46.9,178,0.0,0.0,0.0,25.2,104.5,100.0,255234.98,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-094,Décor,Vases & Planters,689.5,1897.5,7.5,0.9375,1.9435389756832766,73.9,14.7,2026-03-31,188,100,35,196,5.0,4.7,10.8,15.5,288,0.0,0.0,0.0,200.5,180.5,100.0,124454.75,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-095,Décor,Wall Art,2900.34,5647.99,165.2,20.65,15.12555784095251,185.9,74.5,2026-03-31,499,80,28,502,4.0,82.6,53.1,135.7,579,0.0,0.0,0.0,24.2,333.8,100.0,968133.49,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-096,Décor,Mirrors,2907.569126919706,5894.55,57.3,7.1625,9.676897423761398,137.1,37.1,2026-03-31,306,18,21,234,3.0,21.5,30.4,51.9,324,0.0,0.0,0.0,42.7,248.7,100.0,723112.44,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-097,Décor,Candles,1002.75,2503.22,167.2,20.9,15.488140624361595,183.1,67.1,2026-03-31,284,21,14,258,2.0,41.8,38.4,80.2,305,0.0,0.0,0.0,13.6,116.8,35.0,117121.2,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-DÉC-098,Décor,Wall Art,2433.78,4394.3,169.9,21.2375,15.33166148041366,198.2,72.5,2026-03-31,235,134,14,257,2.0,42.5,38.0,80.5,369,0.0,0.0,0.0,11.1,65.1,19.4,158439.08,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-DÉC-099,Décor,Lighting,2813.1,5679.2,153.2,19.15,14.818485077766889,171.2,74.9,2026-03-31,392,82,21,355,3.0,57.4,45.1,102.5,474,0.0,0.0,0.0,20.5,238.8,78.1,671768.28,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-DÉC-100,Décor,Candles,1840.1,4337.86,26.2,3.275,5.9824221683194505,136.4,29.5,2026-03-31,458,254,42,393,6.0,19.6,28.1,47.7,712,0.0,0.0,0.0,139.8,431.8,100.0,794555.18,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-001,Furnishings,Seating,2887.67,5255.63,188.0,23.5,9.705024471890836,281.40000000000003,94.0,2026-03-31,346,118,42,1257,6.0,141.0,43.1,184.1,464,0.0,0.0,0.0,14.7,158.0,41.9,456251.86,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-002,Furnishings,Seating,12988.84,30052.85,220.0,27.5,12.01270161121136,272.6,86.8,2026-03-31,147,43,21,548,3.0,82.5,37.1,119.6,190,0.0,0.0,0.0,5.3,0.0,0.0,0.0,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-FUR-003,Furnishings,Seating,2961.86,5257.04,248.4,31.05,9.268090418203741,372.6,155.0,2026-03-31,313,63,28,1122,4.0,124.2,33.8,158.0,376,0.0,0.0,0.0,10.1,64.6,13.1,191336.16,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-FUR-004,Furnishings,Bedding,5581.98,11833.28,399.2,49.9,11.4261760882633,610.5,239.9,2026-03-31,289,1,21,1263,3.0,149.7,35.4,185.1,290,0.0,0.0,0.0,5.8,0.0,0.0,0.0,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-FUR-005,Furnishings,Rugs,11633.62,26147.08,208.4,26.05,11.444977064197202,271.4,82.5,2026-03-31,138,44,14,420,2.0,52.1,29.0,81.1,182,0.0,0.0,0.0,5.3,0.0,0.0,0.0,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-FUR-006,Furnishings,Tables,13321.16,24939.88,323.9,40.4875,7.686910546506965,472.4,190.8,2026-03-31,206,427,42,1993,6.0,242.9,35.0,277.9,633,0.0,0.0,0.0,5.1,0.0,0.0,0.0,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-FUR-007,Furnishings,Shelving,4084.26,7776.19,315.7,39.4625,8.095204985051337,506.4,197.6,2026-03-31,168,141,14,715,2.0,78.9,21.2,100.1,309,0.0,0.0,0.0,4.3,0.0,0.0,0.0,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-FUR-008,Furnishings,Bedding,6600.07,10789.53,176.1,22.0125,10.029261874634642,259.0,82.5,2026-03-31,943,870,28,836,4.0,88.0,36.3,124.3,1813,0.0,0.0,0.0,42.8,766.9,100.0,5061593.68,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-009,Furnishings,Rugs,3721.4,6827.07,325.3,40.6625,7.437058810443817,497.7,199.3,2026-03-31,942,973,21,1044,3.0,122.0,24.0,146.0,1915,0.0,0.0,0.0,23.2,616.7,95.0,2294987.38,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-010,Furnishings,Shelving,11448.96,24771.63,217.1,27.1375,8.834723750633067,306.1,119.2,2026-03-31,1478,896,42,1476,6.0,162.8,39.6,202.4,2374,0.0,0.0,0.0,54.5,1260.9,100.0,14435993.66,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-011,Furnishings,Shelving,17770.93,40593.32,321.0,40.125,5.346435728595267,464.9,177.0,2026-03-31,994,1056,21,963,3.0,120.4,18.1,138.5,2050,0.0,0.0,0.0,24.8,673.0,100.0,11959835.89,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-012,Furnishings,Shelving,9527.86,21602.41,301.5,37.6875,9.581288731167641,449.2,181.7,2026-03-31,138,149,21,964,3.0,113.1,30.1,143.2,287,0.0,0.0,0.0,3.7,0.0,0.0,0.0,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-FUR-013,Furnishings,Tables,12887.72,27856.24,267.2,33.4,7.962882643867106,386.0,161.4,2026-03-31,843,564,14,587,2.0,66.8,20.9,87.7,1407,0.0,0.0,0.0,25.2,575.8,100.0,7420749.18,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-014,Furnishings,Bedding,12342.16,25021.41,223.9,27.9875,11.013904564231524,256.7,86.5,2026-03-31,1457,511,35,836,5.0,139.9,44.2,184.1,1968,0.0,0.0,0.0,52.1,1233.1,100.0,15219117.5,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-015,Furnishings,Rugs,6684.19,15643.1,325.2,40.65,7.770617736061915,524.4,200.8,2026-03-31,143,82,35,1892,5.0,203.2,32.3,235.5,225,0.0,4.5,0.0,3.5,0.0,0.0,0.0,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-FUR-016,Furnishings,Shelving,17049.65428148134,34564.97,253.1,31.6375,6.953225420623151,341.0,128.6,2026-03-31,54,110,21,698,3.0,94.9,22.7,117.6,164,0.0,0.0,0.0,1.7,0.0,0.0,0.0,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-FUR-017,Furnishings,Shelving,8718.05,14410.51,195.0,24.375,13.563346747761042,258.7,79.4,2026-03-31,1232,313,28,778,4.0,97.5,47.9,145.4,1545,0.0,0.0,0.0,50.5,1037.0,100.0,9040617.85,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-018,Furnishings,Shelving,5795.71,11587.86,207.6,25.95,12.823708511971098,222.6,93.8,2026-03-31,645,632,28,613,4.0,103.8,45.5,149.3,1277,0.0,0.0,0.0,24.9,437.4,100.0,2535043.55,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-019,Furnishings,Rugs,4714.51,8069.85,296.5,37.0625,7.649336164007959,448.5,180.9,2026-03-31,954,302,14,618,2.0,74.1,20.1,94.2,1256,0.0,0.0,0.0,25.7,657.5,100.0,3099790.32,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-020,Furnishings,Shelving,14078.71,27351.37,341.9,42.7375,6.304351175973623,531.1,198.8,2026-03-31,486,193,35,1669,5.0,213.7,26.9,240.6,679,0.0,0.0,0.0,11.4,144.1,21.3,2028742.11,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-FUR-021,Furnishings,Tables,17958.55,30721.07,237.1,29.6375,12.853689888510614,247.3,96.4,2026-03-31,757,406,21,439,3.0,88.9,39.5,128.4,1163,0.0,0.0,0.0,25.5,519.9,100.0,9336650.14,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-022,Furnishings,Seating,15847.1,27293.03,291.3,36.4125,6.82228654851143,410.2,171.2,2026-03-31,994,279,14,573,2.0,72.8,18.2,91.0,1273,0.0,0.0,0.0,27.3,702.7,100.0,11135757.17,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-023,Furnishings,Rugs,11744.34,22406.01,195.6,24.45,9.662039122255715,275.9,92.2,2026-03-31,1487,746,28,823,4.0,97.8,35.1,132.9,2233,0.0,0.0,0.0,60.8,1291.4,100.0,15166640.68,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-024,Furnishings,Bedding,6396.92,13066.23,280.4,35.05,7.059922095887461,435.70000000000005,176.1,2026-03-31,149,126,35,1623,5.0,175.2,29.6,204.8,275,0.0,0.0,0.0,4.3,0.0,0.0,0.0,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-FUR-025,Furnishings,Seating,13066.51,26519.48,206.3,25.7875,9.762483994865242,270.8,85.9,2026-03-31,584,273,21,573,3.0,77.4,30.7,108.1,857,0.0,0.0,0.0,22.6,377.7,91.3,4935220.83,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-026,Furnishings,Shelving,4229.06,8237.41,307.9,38.4875,9.619308382103155,461.2,187.3,2026-03-31,1548,1104,21,1012,3.0,115.5,30.3,145.8,2652,0.0,0.0,0.0,40.2,1240.1,100.0,5244457.31,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-027,Furnishings,Shelving,17564.27,38809.48,267.6,33.45,6.4265076052238514,376.7,138.5,2026-03-31,100,23,35,1256,5.0,167.2,27.3,194.5,123,44.2,36.8,1715379.02,3.0,0.0,0.0,0.0,Reorder now,"High stockout, low overstock",Raise a replenishment order before stock runs out.,172
NB-FUR-028,Furnishings,Shelving,15545.87,31187.04,371.0,46.375,8.855753779323361,562.3,214.7,2026-03-31,1834,859,21,1221,3.0,139.1,28.1,167.2,2693,0.0,0.0,0.0,39.5,1463.0,100.0,22743607.81,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-029,Furnishings,Tables,10860.37,24141.53,223.8,27.975,10.793950852213474,267.7,87.6,2026-03-31,396,214,14,361,2.0,56.0,27.4,83.4,610,0.0,0.0,0.0,14.2,172.2,38.7,1870155.71,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-030,Furnishings,Bedding,7524.42,12156.31,197.9,24.7375,9.986483052105982,292.0,118.39999999999999,2026-03-31,825,507,14,476,2.0,49.5,25.6,75.1,1332,0.0,0.0,0.0,33.4,627.1,100.0,4718563.78,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-031,Furnishings,Shelving,5492.671866917172,11135.36,9.5,1.1875,1.3923339218736286,78.0,22.0,2026-03-31,263,60,35,242,5.0,5.9,8.8,14.7,323,0.0,0.0,0.0,221.5,253.5,100.0,1392392.32,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-032,Furnishings,Seating,13844.57,31189.3,231.2,28.9,12.393344988339509,235.7,80.5,2026-03-31,923,252,35,625,5.0,144.5,49.3,193.8,1175,0.0,0.0,0.0,31.9,691.8,100.0,9577673.53,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-033,Furnishings,Tables,4490.07,8891.35,151.1,18.8875,15.781907164534962,166.9,72.4,2026-03-31,490,217,35,603,5.0,94.4,61.7,156.1,707,0.0,0.0,0.0,25.9,338.9,100.0,1521684.72,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-034,Furnishings,Bedding,16022.71,31060.19,53.6,6.7,5.542562584220407,136.2,37.3,2026-03-31,301,136,21,186,3.0,20.1,18.6,38.7,437,0.0,0.0,0.0,44.9,247.4,100.0,3964018.45,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-035,Furnishings,Tables,13550.71,26006.44,159.4,19.925,12.110610017666328,176.1,66.9,2026-03-31,690,3,42,601,6.0,119.6,52.8,172.4,693,0.0,0.0,0.0,34.6,530.6,100.0,7190006.73,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-036,Furnishings,Rugs,16444.02,32249.83,217.0,27.125,12.865141856971496,223.8,88.2,2026-03-31,341,117,14,230,2.0,54.2,32.3,86.5,458,0.0,0.0,0.0,12.6,124.0,28.7,2039058.48,Healthy,Low on both,Balanced inventory; no immediate action required.,0
NB-FUR-037,Furnishings,Shelving,2826.03,5773.97,94.3,11.7875,12.877251016812556,157.5,49.9,2026-03-31,306,49,28,361,4.0,47.2,45.7,92.9,355,0.0,0.0,0.0,26.0,211.7,100.0,598270.55,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
NB-FUR-038,Furnishings,Seating,13471.53,22188.94,107.2,13.4,10.157878715558677,149.6,51.8,2026-03-31,613,388,42,527,6.0,80.4,45.0,125.4,1001,0.0,0.0,0.0,45.7,505.8,100.0,6813899.87,Markdown / clear,"High overstock, low stockout",Promote or discount to free up locked working capital.,0
