sku_id,date,on_hand_units,on_order_units,lead_time_days,reorder_point
NB-SMA-115,2026-03-31,592,35,42,646
NB-SMA-116,2026-03-31,412,119,28,414
NB-SMA-117,2026-03-31,449,8,21,312
NB-SMA-118,2026-03-31,396,237,35,358
NB-SMA-119,2026-03-31,123,108,21,196
NB-SMA-120,2026-03-31,293,241,28,457
NB-SMA-121,2026-03-31,411,373,42,686
NB-SMA-122,2026-03-31,469,236,21,359
NB-SMA-123,2026-03-31,411,353,28,496
NB-SMA-124,2026-03-31,213,243,28,344
NB-SMA-125,2026-03-31,263,61,21,255
NB-SMA-126,2026-03-31,142,141,14,226
NB-SMA-127,2026-03-31,520,413,42,595
NB-SMA-128,2026-03-31,440,338,35,520
NB-SMA-129,2026-03-31,579,271,28,452
NB-SMA-130,2026-03-31,339,79,28,487
NB-SMA-131,2026-03-31,325,0,21,42
NB-SMA-132,2026-03-31,532,0,21,46
NB-SMA-133,2026-03-31,41,0,42,44
NB-SMA-134,2026-03-31,268,0,21,63
NB-SMA-135,2026-03-31,195,0,28,22
NB-SMA-136,2026-03-31,537,0,28,71
NB-SMA-137,2026-03-31,376,0,35,100
NB-SMA-138,2026-03-31,288,0,14,25
NB-SMA-139,2026-03-31,78,0,42,128
NB-SMA-140,2026-03-31,156,0,28,22
NB-SMA-141,2026-03-31,147,0,42,34
NB-SMA-142,2026-03-31,749,0,14,56
NB-SMA-143,2026-03-31,448,0,14,29
NB-SMA-144,2026-03-31,125,0,35,41
NB-SMA-145,2026-03-31,367,0,28,78
NB-SMA-146,2026-03-31,581,0,14,53
NB-SMA-147,2026-03-31,208,0,14,21
NB-SMA-148,2026-03-31,81,0,28,89
NB-SMA-149,2026-03-31,225,0,28,28
NB-SMA-150,2026-03-31,157,0,21,18
